E:\anaconda3\envs\CRL\lib\site-packages\wandb\sdk\lib\import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4 and slated for removal in Python 3.12; use importlib.util.find_spec() instead
  loader = importlib.find_loader(fullname, path)
num_iterations:   0%|                                                                                                                                   | 0/61 [00:00<?, ?it/s]
global_step=120, episodic_return=[63.243027]
global_step=192, episodic_return=[117.10096]
global_step=288, episodic_return=[168.86742]
global_step=776, episodic_return=[342.2408]
global_step=2008, episodic_return=[1048.2334]
global_step=2024, episodic_return=[1101.8934]
global_step=2144, episodic_return=[68.14024]
global_step=2984, episodic_return=[1660.0933]
global_step=3048, episodic_return=[28.54231]
global_step=3568, episodic_return=[275.48688]
global_step=3568, episodic_return=[1772.699]
global_step=3784, episodic_return=[136.97255]
global_step=3824, episodic_return=[2389.3828]
global_step=4144, episodic_return=[2475.5042]
global_step=5032, episodic_return=[2250.4663]
global_step=5416, episodic_return=[1203.8776]
global_step=5648, episodic_return=[868.7045]
global_step=5760, episodic_return=[2812.8057]
global_step=5912, episodic_return=[102.13267]
global_step=6384, episodic_return=[255.7747]
global_step=7944, episodic_return=[1735.18]
global_step=8240, episodic_return=[1593.472]
global_step=8280, episodic_return=[172.03947]
global_step=8392, episodic_return=[54.2118]
global_step=9096, episodic_return=[377.27582]
global_step=9136, episodic_return=[444.38574]
global_step=9336, episodic_return=[6319.193]
global_step=10272, episodic_return=[3877.0518]
global_step=10928, episodic_return=[938.0273]
global_step=12056, episodic_return=[1665.6888]
global_step=12576, episodic_return=[1358.1278]
global_step=13264, episodic_return=[743.4444]
global_step=13640, episodic_return=[312.71628]
global_step=13752, episodic_return=[49.077496]
global_step=14176, episodic_return=[5824.8267]
global_step=14536, episodic_return=[10782.593]
global_step=14720, episodic_return=[129.88403]
global_step=14784, episodic_return=[2077.669]
global_step=15640, episodic_return=[722.12445]
global_step=15696, episodic_return=[7289.5317]
global_step=16024, episodic_return=[1095.5969]

num_iterations:   2%|██                                                                                                                         | 1/61 [00:48<48:30, 48.51s/it]
global_step=18112, episodic_return=[1436.0458]
global_step=18568, episodic_return=[2864.6511]
global_step=18584, episodic_return=[1597.7007]
global_step=18872, episodic_return=[205.46034]
global_step=19336, episodic_return=[392.1803]
global_step=19416, episodic_return=[39.84399]
global_step=19520, episodic_return=[48.7751]
global_step=19656, episodic_return=[439.06323]
global_step=20048, episodic_return=[3626.2659]
global_step=20088, episodic_return=[9255.748]
global_step=20128, episodic_return=[39.867523]
global_step=20192, episodic_return=[52.89552]
global_step=20264, episodic_return=[31.834076]
global_step=21248, episodic_return=[1881.215]
global_step=21440, episodic_return=[99.939804]
global_step=21688, episodic_return=[137.96654]
global_step=21744, episodic_return=[1177.1666]
global_step=21888, episodic_return=[68.09431]
global_step=22016, episodic_return=[1101.0421]
global_step=22304, episodic_return=[228.99284]
global_step=22808, episodic_return=[548.51135]
global_step=22928, episodic_return=[1724.7803]
global_step=22928, episodic_return=[66.29562]
global_step=23192, episodic_return=[5443.5576]
global_step=23344, episodic_return=[261.56613]
global_step=23736, episodic_return=[308.3489]
global_step=23904, episodic_return=[86.989426]
global_step=24000, episodic_return=[2718.3445]
global_step=25024, episodic_return=[1451.8295]
global_step=25424, episodic_return=[881.88416]
global_step=25576, episodic_return=[7416.8955]
global_step=26296, episodic_return=[2955.4626]
global_step=27384, episodic_return=[1339.642]
global_step=27440, episodic_return=[1178.9738]
global_step=28888, episodic_return=[2913.0205]
global_step=29216, episodic_return=[4496.1313]
global_step=29400, episodic_return=[97.85166]
global_step=29976, episodic_return=[5731.994]
global_step=30152, episodic_return=[2335.1172]
global_step=30384, episodic_return=[662.428]
global_step=30568, episodic_return=[916.953]
global_step=30600, episodic_return=[111.86124]
